,source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights,user_type
4220,Student34,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3,Student
4429,Student37,if4k52zva1159a,directed,post_graph,3,0,0,0,3,Student
4481,Student34,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3,Student
4483,Student71,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3,Student
4485,Student61,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3,Student
4488,Student100,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3,Student
4490,Student8,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3,Student
4492,Student3,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3,Student
4495,Student17,if4uva7louq58o,directed,post_graph,3,0,0,0,3,Student
4673,Student3,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3,Student
4675,Student95,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3,Student
4677,Student58,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3,Student
4798,Student14,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3,Student
4800,Student8,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3,Student
4802,Student33,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3,Student
4494,Student17,if4uva7louq58o,directed,post_graph,3,2,0,0,5,Student
258,Student51,idgrodful3h7bm,directed,post_graph,3,33,0,0,36,Student
1632,Student84,ids7h53xv773q0,directed,post_graph,3,4,0,0,7,Student
4796,Student36,ifgyhlj8cor4dk,directed,post_graph,3,4,0,0,7,Student
535,Student80,idmhwfo7z4t6m0,directed,post_graph,3,43,0,0,46,Student
4797,Student24,ifh2fisdsgk3yf,directed,post_graph,3,45,0,0,48,Student
3073,Student44,ie18n02621q7kx,directed,post_graph,3,48,0,0,51,Student
4480,Student43,if4qyx6p8xa5f3,directed,post_graph,3,53,0,0,56,Student
4292,Student83,if0elblbtab3dh,directed,post_graph,3,55,0,0,58,Student
4290,Student24,if0dq239myp4py,directed,post_graph,3,56,0,0,59,Student
4186,Student80,iexzn9sf9hx4bi,directed,post_graph,3,62,0,0,65,Student
362,Student34,idj4r74e4w64kw,directed,post_graph,3,63,0,0,66,Student
3004,Student79,ie0k1jfreckit,directed,post_graph,3,63,0,0,66,Student
2856,Student56,idy4vnns5n55ad,directed,post_graph,3,79,0,0,82,Student
267,Student36,idgttuabl79v2,directed,post_graph,4,0,0,0,4,Student
269,Student40,idgttuabl79v2,directed,post_graph,4,0,0,0,4,Student
271,Student44,idgttuabl79v2,directed,post_graph,4,0,0,0,4,Student
273,Student10,idgttuabl79v2,directed,post_graph,4,0,0,0,4,Student
322,Student100,idhfrlt04s94n9,directed,post_graph,4,0,0,0,4,Student
324,Student35,idhfrlt04s94n9,directed,post_graph,4,0,0,0,4,Student
373,Student8,idjee7hfmql1rg,directed,post_graph,4,0,0,0,4,Student
375,Student13,idjee7hfmql1rg,directed,post_graph,4,0,0,0,4,Student
377,Student101,idjee7hfmql1rg,directed,post_graph,4,0,0,0,4,Student
382,Student59,idjlc2ltmdi72d,directed,post_graph,4,0,0,0,4,Student
384,Student100,idjlc2ltmdi72d,directed,post_graph,4,0,0,0,4,Student
386,Student77,idjlc2ltmdi72d,directed,post_graph,4,0,0,0,4,Student
440,Student80,idkled9yf8c2rx,directed,post_graph,4,0,0,0,4,Student
442,Student13,idkled9yf8c2rx,directed,post_graph,4,0,0,0,4,Student
444,Student44,idkled9yf8c2rx,directed,post_graph,4,0,0,0,4,Student
449,Student97,idko1ucj5b58j,directed,post_graph,4,0,0,0,4,Student
451,Student55,idko1ucj5b58j,directed,post_graph,4,0,0,0,4,Student
453,Student5,idko1ucj5b58j,directed,post_graph,4,0,0,0,4,Student
502,Student8,idlox93qedq5nt,directed,post_graph,4,0,0,0,4,Student
504,Student13,idlox93qedq5nt,directed,post_graph,4,0,0,0,4,Student
508,Student46,idlox93qedq5nt,directed,post_graph,4,0,0,0,4,Student
642,Student72,idqaeq93psy1jw,directed,post_graph,4,0,0,0,4,Student
644,Student13,idqaeq93psy1jw,directed,post_graph,4,0,0,0,4,Student
646,Student68,idqaeq93psy1jw,directed,post_graph,4,0,0,0,4,Student
648,Student32,idqaeq93psy1jw,directed,post_graph,4,0,0,0,4,Student
772,Student55,idraozwip2z6do,directed,post_graph,4,0,0,0,4,Student
774,Student80,idraozwip2z6do,directed,post_graph,4,0,0,0,4,Student
776,Student80,idraozwip2z6do,directed,post_graph,4,0,0,0,4,Student
