,uid,asks,answers,posts,views,days,type,Student ID,Assignment 1 [40],Assignment 2 [40],Project 1 [100],Assignment 3 [40],Assignment 4 [40],Project 2 [100],Assignment 5 [40],Assignment 6 [40],Project 3 [100],final_grade,Peer Feedback [15],Course Grade,grade_bucket,id,label,user_type,type_data
204,User60,7,0,28,170,49,student,User60,0,36,75,0,34,64,0,36,63,20,15,52.36,c,User60,User60,User,user_graph
205,User55,0,0,28,165,57,student,User55,30,0,92,0,35,63,0,31,54,88,15,62.29,b,User55,User55,User,user_graph
206,User262,1,1,21,503,75,student,User262,0,30,72,0,39,69,0,32,63,86,15,61.98,b,User262,User262,User,user_graph
209,User107,9,0,53,410,56,student,User107,30,0,78,0,34,81,0,38,79,100,10,68.7,b,User107,User107,User,user_graph
210,User227,3,0,29,305,76,student,User227,32,0,85,29,0,66,30,0,57,96,16,62.74,b,User227,User227,User,user_graph
212,User222,3,1,25,530,130,student,User222,13,0,82,25,0,73,21,0,60,92,9,57.25,c,User222,User222,User,user_graph
215,User322,2,0,5,93,45,student,User322,25,0,39,0,28,46,0,26,39,42,15,39.69,d,User322,User322,User,user_graph
216,Missing50,0,0,2,105,73,student,,,,,,,,,,,,,,,Missing50,Missing50,Missing,user_graph
219,User313,18,6,72,312,71,student,User313,32,0,88,31,0,77,20,0,82,97,15,67.48,b,User313,User313,User,user_graph
224,User351,3,0,8,147,50,student,User351,0,30,81,37,0,88,0,29,77,90,13,67.93,b,User351,User351,User,user_graph
227,User233,4,0,10,166,63,student,User233,12,0,33,40,0,58,27,0,59,80,10,48.7,d,User233,User233,User,user_graph
228,User18,5,0,14,220,59,student,User18,0,25,58,30,0,59,0,27,52,88,13,53.74,c,User18,User18,User,user_graph
229,User162,4,0,40,524,126,student,User162,18,0,83,29,0,59,0,34,70,88,13,60.15,b,User162,User162,User,user_graph
230,User242,10,20,147,651,141,student,User242,33,0,84,0,38,77,30,0,69,96,15,67.48,b,User242,User242,User,user_graph
231,User97,4,2,61,639,126,student,User97,25,0,87,34,0,85,30,0,65,96,11,66.1,b,User97,User97,User,user_graph
232,User228,1,0,4,252,91,student,User228,40,0,80,0,39,65,0,28,74,96,15,66.71,b,User228,User228,User,user_graph
237,User320,2,11,49,294,56,student,User320,35,0,90,39,0,83,40,0,75,94,13,71.6,a,User320,User320,User,user_graph
239,User76,0,4,34,580,41,student,User76,29,0,88,0,31,80,37,0,84,90,15,69.31,b,User76,User76,User,user_graph
240,User333,1,0,23,320,71,student,User333,30,0,68,32,0,72,0,30,56,93,12,60,b,User333,User333,User,user_graph
241,User305,1,0,17,437,100,student,User305,0,36,79,0,40,94,0,40,79,98,15,73.43,a,User305,User305,User,user_graph
